# NEA PSCompPars snapshot, regenerated 2026-05-13 00:30 UTC
# Source: NASA Exoplanet Archive Composite Parameters (DOI: 10.26133/NEA13)
# Count: 6286 planets
# Columns: pl_name | hostname | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live NEA fetch fails.
AF Lep b	AF Lep	6140.0	4.4	0.19
AT2021ueyL b	AT2021ueyL	3680.0		
AU Mic b	AU Mic	3540.0	4.37	0.01
AU Mic c	AU Mic	3540.0	4.37	0.01
AU Mic d	AU Mic	3678.0	4.404	0.23
AU Mic e	AU Mic	3665.0	4.52	0.12
BD+03 2562 b	BD+03 2562	4095.0	1.89	-0.71
BD+05 4868 A b	BD+05 4868 A	4596.0	4.6	-0.05
BD+14 4559 b	BD+14 4559	4864.0	4.26	0.17
BD+15 2375 b	BD+15 2375	4649.0	2.61	-0.22
BD+15 2940 b	BD+15 2940	4796.0	2.8	0.28
BD+20 2457 b	BD+20 2457	4137.0	1.51	-1.0
BD+20 2457 c	BD+20 2457	4137.0	1.51	-1.0
BD+20 274 b	BD+20 274	4296.0	1.99	-0.46
BD+20 594 b	BD+20 594	5766.0	4.5	-0.15
BD+37 3172 b	BD+37 3172	4500.0	1.5	-0.03
BD+42 2315 b	BD+42 2315	4500.0	2.0	-0.2
BD+45 564 b	BD+45 564	5004.0	4.22	-0.09
BD+48 738 b	BD+48 738	4414.0	2.24	-0.2
BD+48 740 b	BD+48 740	4534.0	2.48	-0.13
BD+49 828 b	BD+49 828	4943.0	2.85	-0.19
BD+55 362 b	BD+55 362	5012.0	4.09	0.18
BD+60 1417 b	BD+60 1417	4993.0	4.5539	
BD+63 1405 b	BD+63 1405	5000.0	4.2	-0.09
BD-06 1339 b	BD-06 1339	4324.0	4.74	-0.14
BD-06 1339 c	BD-06 1339	4324.0	4.74	-0.14
BD-08 2823 b	BD-08 2823	4816.0	4.43	-0.06
BD-08 2823 c	BD-08 2823	4746.0	4.13	-0.07
BD-10 3166 b	BD-10 3166	5393.0	4.69	0.38
BD-11 4672 b	BD-11 4672	4550.0	4.642	-0.35
BD-11 4672 c	BD-11 4672	4550.0	4.642	-0.35
BD-13 2130 b	BD-13 2130	4545.0	2.2	-0.08
BD-14 3065 b	BD-14 3065 A	6935.0	3.85	-0.34
BD-17 63 b	BD-17 63	4714.0	4.26	-0.03
BD-210397 b	BD-210397	4051.0	4.67	0.12
BD-210397 c	BD-210397	4051.0	4.67	0.12
BEBOP-3 b	BEBOP-3	6033.0	4.203	-0.02
BEBOP-4 AB b	BEBOP-4 A	5701.43	3.56597	0.2615
Barnard b	Barnard's star	3195.0	4.9	-0.56
Barnard c	Barnard's star	3195.0	4.9	-0.56
Barnard d	Barnard's star	3195.0	4.9	-0.56
Barnard e	Barnard's star	3195.0	4.9	-0.56
CD Cet b	CD Cet	3130.0	4.93	0.13
CD-35 2722 b	CD-35 2722	3689.0	4.24	-0.16
CFBDSIR J145829+101343 b	CFBDSIR J145829+101343	580.5	4.725	
CFHTWIR-Oph 98 b	CFHTWIR-Oph 98 A	2320.0	3.845	
CHXR 73 b	CHXR 73	3099.0		
CI Tau c	CI Tau	3807.0		
COCONUTS-2 b	COCONUTS-2 A	3406.0	4.83	0.0
CT Cha b	CT Cha	4403.0	3.66	-0.56
CWISEP J193518.59-154620.3 b	CWISEP J193518.59-154620.3			
CoRoT-1 b	CoRoT-1	5950.0	4.25	-0.3
CoRoT-10 b	CoRoT-10	5075.0	4.65	0.26
CoRoT-11 b	CoRoT-11	6440.0	4.22	-0.03
CoRoT-12 b	CoRoT-12	5675.0	4.375	0.16
CoRoT-13 b	CoRoT-13	5945.0	4.46	0.01
CoRoT-14 b	CoRoT-14	6035.0	4.35	0.05
CoRoT-16 b	CoRoT-16	5650.0	4.36	0.19
CoRoT-17 b	CoRoT-17	5740.0	4.4	0.0
CoRoT-18 b	CoRoT-18	5440.0	4.4	-0.1
CoRoT-19 b	CoRoT-19	6090.0	4.07	-0.02
CoRoT-2 b	CoRoT-2	5625.0	4.53	0.04
CoRoT-20 b	CoRoT-20	5880.0	4.35	0.14
CoRoT-20 c	CoRoT-20	5880.0	4.35	0.14
CoRoT-21 b	CoRoT-21	6200.0	3.7	0.0
CoRoT-22 b	CoRoT-22	5939.0	4.361	0.17
CoRoT-23 b	CoRoT-23	5900.0	4.3	0.05
CoRoT-24 b	CoRoT-24	4950.0	4.55	0.3
CoRoT-24 c	CoRoT-24	4950.0	4.55	0.3
CoRoT-25 b	CoRoT-25	6040.0	4.31	-0.01
CoRoT-26 b	CoRoT-26	5590.0	3.99	0.01
CoRoT-27 b	CoRoT-27	5900.0	4.4	-0.1
CoRoT-28 b	CoRoT-28	5150.0	3.6	0.15
CoRoT-29 b	CoRoT-29	5260.0	4.3	0.2
CoRoT-3 b	CoRoT-3	6740.0	4.22	0.14
CoRoT-30 b	CoRoT-30	5650.0	4.4	0.02
CoRoT-31 b	CoRoT-31	5700.0	3.85	0.0
CoRoT-32 b	CoRoT-32	5970.0	4.67	0.0
CoRoT-35 b	CoRoT-35	6390.0	4.01	-0.5
CoRoT-36 b	CoRoT-36	6730.0	4.16	-0.1
CoRoT-4 b	CoRoT-4	6190.0	4.41	0.05
CoRoT-5 b	CoRoT-5	6100.0	4.19	-0.25
CoRoT-6 b	CoRoT-6	6090.0	4.43	-0.2
CoRoT-7 b	CoRoT-7	5275.0	4.5	0.05
CoRoT-7 c	CoRoT-7	5256.0	4.51853	0.06
CoRoT-7 d	CoRoT-7	5250.0	4.573	0.12
CoRoT-8 b	CoRoT-8	5080.0	4.58	0.3
CoRoT-9 b	CoRoT-9	5625.0	4.54	-0.01
DE CVn b	DE CVn	3579.0	4.80413	
DENIS-P J082303.1-491201 b	DENIS-P J082303.1-491201			
DH Tau b	DH Tau	4371.0	4.00103	
DMPP-1 b	DMPP-1	6196.0	4.41	
DMPP-1 c	DMPP-1	6196.0	4.41	
DMPP-1 d	DMPP-1	6196.0	4.41	
DMPP-1 e	DMPP-1	6196.0	4.41	
DMPP-2 b	DMPP-2	6500.0	4.1	
DMPP-2 c	DMPP-2	6500.0	4.1	
DMPP-2 d	DMPP-2	6500.0	4.1	
DMPP-3 A b	DMPP-3 A	5138.0	4.46049	0.18
DMPP-4 b	DMPP-4	6400.0	4.24	-0.007
DMPP-6 b	DMPP-6	6182.09	4.31374	0.32
DMPP-6 c	DMPP-6	6182.09	4.31374	0.32
DMPP-7 b	DMPP-7	5996.82	4.17	
DMPP-8 b	DMPP-8	6009.0	4.32111	
DMPP-9 b	DMPP-9	6092.0	4.2613	
DP Leo b	DP Leo	13500.0		
DS Tuc A b	DS Tuc A	5428.0	4.6	0.0
EPIC 201170410.02	EPIC 201170410	3648.0	4.999	-0.048
