 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 3.00  7500. -5.0  2.0   0.5699
 3.00  7500. -5.0  2.0   0.6746
 3.00  7500. -5.0  2.0   0.0010
 3.50  7500. -5.0  2.0   0.5617
 3.50  7500. -5.0  2.0   0.6903
 3.50  7500. -5.0  2.0   0.0012
 4.00  7500. -5.0  2.0   0.6013
 4.00  7500. -5.0  2.0   0.5085
 4.00  7500. -5.0  2.0   0.0034
 4.50  7500. -5.0  2.0   0.6000
 4.50  7500. -5.0  2.0   0.5074
 4.50  7500. -5.0  2.0   0.0036
 5.00  7500. -5.0  2.0   0.5988
 5.00  7500. -5.0  2.0   0.5084
 5.00  7500. -5.0  2.0   0.0037
 1.50  7750. -5.0  2.0   0.6244
 1.50  7750. -5.0  2.0   0.5594
 1.50  7750. -5.0  2.0   0.0004
 2.00  7750. -5.0  2.0   0.6022
 2.00  7750. -5.0  2.0   0.5828
 2.00  7750. -5.0  2.0   0.0004
 2.50  7750. -5.0  2.0   0.5830
 2.50  7750. -5.0  2.0   0.6106
 2.50  7750. -5.0  2.0   0.0005
 3.00  7750. -5.0  2.0   0.5710
 3.00  7750. -5.0  2.0   0.6357
 3.00  7750. -5.0  2.0   0.0008
 3.50  7750. -5.0  2.0   0.5641
 3.50  7750. -5.0  2.0   0.6547
 3.50  7750. -5.0  2.0   0.0012
 4.00  7750. -5.0  2.0   0.5574
 4.00  7750. -5.0  2.0   0.6684
 4.00  7750. -5.0  2.0   0.0015
 4.50  7750. -5.0  2.0   0.5997
 4.50  7750. -5.0  2.0   0.4908
 4.50  7750. -5.0  2.0   0.0035
 5.00  7750. -5.0  2.0   0.5976
 5.00  7750. -5.0  2.0   0.4940
 5.00  7750. -5.0  2.0   0.0036
 1.50  8000. -5.0  2.0   0.6300
 1.50  8000. -5.0  2.0   0.5270
 1.50  8000. -5.0  2.0   0.0003
 2.00  8000. -5.0  2.0   0.6082
 2.00  8000. -5.0  2.0   0.5434
 2.00  8000. -5.0  2.0   0.0004
 2.50  8000. -5.0  2.0   0.5881
 2.50  8000. -5.0  2.0   0.5686
 2.50  8000. -5.0  2.0   0.0004
 3.00  8000. -5.0  2.0   0.5719
 3.00  8000. -5.0  2.0   0.5961
 3.00  8000. -5.0  2.0   0.0006
 3.50  8000. -5.0  2.0   0.5637
 3.50  8000. -5.0  2.0   0.6186
 3.50  8000. -5.0  2.0   0.0009
 4.00  8000. -5.0  2.0   0.5592
 4.00  8000. -5.0  2.0   0.6344
 4.00  8000. -5.0  2.0   0.0014
 4.50  8000. -5.0  2.0   0.5535
 4.50  8000. -5.0  2.0   0.6459
 4.50  8000. -5.0  2.0   0.0017
 5.00  8000. -5.0  2.0   0.5983
 5.00  8000. -5.0  2.0   0.4751
 5.00  8000. -5.0  2.0   0.0035
 2.00  8250. -5.0  2.0   0.6108
 2.00  8250. -5.0  2.0   0.5139
 2.00  8250. -5.0  2.0   0.0002
 2.50  8250. -5.0  2.0   0.5911
 2.50  8250. -5.0  2.0   0.5335
 2.50  8250. -5.0  2.0   0.0003
 3.00  8250. -5.0  2.0   0.5743
 3.00  8250. -5.0  2.0   0.5586
 3.00  8250. -5.0  2.0   0.0004
 3.50  8250. -5.0  2.0   0.5618
 3.50  8250. -5.0  2.0   0.5831
 3.50  8250. -5.0  2.0   0.0006
 4.00  8250. -5.0  2.0   0.5584
 4.00  8250. -5.0  2.0   0.6009
 4.00  8250. -5.0  2.0   0.0011
 4.50  8250. -5.0  2.0   0.5544
 4.50  8250. -5.0  2.0   0.6149
 4.50  8250. -5.0  2.0   0.0015
 5.00  8250. -5.0  2.0   0.5962
 5.00  8250. -5.0  2.0   0.4658
 5.00  8250. -5.0  2.0   0.0034
 1.50  8500. -5.0  2.0   0.6312
 1.50  8500. -5.0  2.0   0.4923
 1.50  8500. -5.0  2.0   0.0001
 2.00  8500. -5.0  2.0   0.6104
 2.00  8500. -5.0  2.0   0.4931
 2.00  8500. -5.0  2.0   0.0002
 2.50  8500. -5.0  2.0   0.5905
 2.50  8500. -5.0  2.0   0.5077
 2.50  8500. -5.0  2.0   0.0002
 3.00  8500. -5.0  2.0   0.5749
 3.00  8500. -5.0  2.0   0.5273
 3.00  8500. -5.0  2.0   0.0003
 3.50  8500. -5.0  2.0   0.5622
 3.50  8500. -5.0  2.0   0.5502
 3.50  8500. -5.0  2.0   0.0004
 4.00  8500. -5.0  2.0   0.5537
 4.00  8500. -5.0  2.0   0.5710
 4.00  8500. -5.0  2.0   0.0006
 4.50  8500. -5.0  2.0   0.5533
 4.50  8500. -5.0  2.0   0.5853
 4.50  8500. -5.0  2.0   0.0012
 5.00  8500. -5.0  2.0   0.5508
 5.00  8500. -5.0  2.0   0.5932
 5.00  8500. -5.0  2.0   0.0018
 2.00  8750. -5.0  2.0   0.6082
 2.00  8750. -5.0  2.0   0.4797
 2.00  8750. -5.0  2.0   0.0001
 2.50  8750. -5.0  2.0   0.5879
 2.50  8750. -5.0  2.0   0.4893
 2.50  8750. -5.0  2.0   0.0002
 3.00  8750. -5.0  2.0   0.5724
 3.00  8750. -5.0  2.0   0.5050
 3.00  8750. -5.0  2.0   0.0002
 3.50  8750. -5.0  2.0   0.5611
 3.50  8750. -5.0  2.0   0.5228
 3.50  8750. -5.0  2.0   0.0003
 4.00  8750. -5.0  2.0   0.5519
 4.00  8750. -5.0  2.0   0.5420
 4.00  8750. -5.0  2.0   0.0004
 4.50  8750. -5.0  2.0   0.5481
 4.50  8750. -5.0  2.0   0.5572
 4.50  8750. -5.0  2.0   0.0007
 5.00  8750. -5.0  2.0   0.5493
 5.00  8750. -5.0  2.0   0.5668
 5.00  8750. -5.0  2.0   0.0014
 1.50  9000. -5.0  2.0   0.6272
 1.50  9000. -5.0  2.0   0.4838
 1.50  9000. -5.0  2.0   0.0001
 2.00  9000. -5.0  2.0   0.6056
 2.00  9000. -5.0  2.0   0.4711
 2.00  9000. -5.0  2.0   0.0001
 2.50  9000. -5.0  2.0   0.5842
